Servidor do Goularte, 311627659828527104
FOGUETE PVP, 727557435363164240
Garena Free Fire Brasil, 388600486552403980
IT’S A TRAP, 801894798641332254
FamiL 🐻, 634770393382518826
Canal Clash War, 492858547919650836
Stumble Guys - Brasil, 938720732110782464
👑 BRASIL ROLEPLAY, 595732094899060736
Space Roleplay, 782386903231758346
Blox Fruits 🇧🇷 SrDarkBlox YT | Blox Fruits • Anime • Social • Gaming • Emotes & Emojis, 714131978299113513
Lucas ON, 537007313492639765
DISCORD DO CELLBIT, 261289646065975296
Rocketseat, 327861810768117763
CDW, 934635845460303882
Canal PlayHard, 334791529296035840
Among Us Brasil (Português), 594296025561169926
LOUD Coringa, 756096490300112957
👑 E D N 👑, 489286929473601536
Família Zezão, 456170392701108244
DERPONCE, 376174829486735360
Oficina do ErikCarr ®, 582430782577049600
🌈 IMPÉRIO RJ ・ SEASON 1 🌈, 538532806544850962
Universo do Godenot, 400755126047997952
CIDADE SANTA | SEASON 5, 690983940567334964
Cidade Alta RP, 519958987953668102
game.tv BR, 520285222793904176
🌴 BAHAMAS・OFICIAL🌴, 1029541397835022346
Comunidade Mangá Livre - SlimeRead, 472974014088740885
Pixelmon Brasil Oficial ©, 478961632236666881
Brazuca City | Season 3, 807106184850178078
Hype Roleplay, 714265730555576341
Disney Roleplay, 835190848979075072
Brasil Play Vício Red, 637164931027959808
Torre do Wuizard ❄, 877639472173428757
GALAXY RP | BR, 826527057399775243
CDL, 777657136137764874
LORD, 800147435196383262
GIFZADA, 953748240589787136
VALORANT - BR (OFICIAL), 701867552946782260
Destiny Roleplay, 512098978331099146
Elixir Lab, 786233887705137163
BDA 🔥, 692883736940773376
LOUD BAK, 727053704892514344
RUSH, 952009663904358460
Gartic BR 🇧🇷, 456915295307694111
7Criminal, 951504347378884648
VSCO | GIFs Icons Emojis & Emotes, 627485429783855124
Fugazzi Culture, 857830382938095647
TKF, 1029514308972982335
GIFNITY, 778802467604791337
Apartamento da Loritta 🌇🌃, 297732013006389252
FiveZ Brasil - Season 8, 719278686699913227
Comunidade Tigre TV, 802185764364353577
Bkinho, 626498806405660687
Mush, 356472653906968576
👑 Portugália RP 👑, 566092875499044865
Runeterra - BR, 611190099496927234
FDL, 822623795307216965
PLIQUE FAMILY, 898613243700998224
Team History, 422981185673625600
BUILD Scrims | SA, 862771292389900308
Brasil Play Shox, 656244004609851455
Spot Community, 894736096708145232
Supremo - by Painite, 1019244218973159484
Good Trades #100k | Blox Fruits Trading・Anime・Social・Gaming・Emotes & Emojis, 1022303823013888041
Let's Code, 867748958201315328
B4 E-Sports, 469680989174628364
Canal Flakes Power, 485486733207666688
Brasil Capital Roleplay, 589505947702001666
Mangakás MK, 826142700889309265
Forever, 496489150816714754
Comunidade Gallen, 785227659650924555
🧟・Xou Family, 714973301902016554
Sebby Games, 510680019593461763
☠ CyberPunks ♡, 637443986528665611
Servidor do Buuf, 474390629951209475
PlayRay - RPG, 922504003978395648
Murilo Fabras, 766279077467652120
⛔ Manutenção ⛔, 776097788181086218
Oficial Fortnite Brasil & Portugal, 499203081209118720
Play Séries Filmes e Animes | Central, 643597733227397172
BLAKK GIFS #70K, 694112329645948988
Paulinho o Loko, 772857533631168552
Algazarra, 774822577285758996
TelleZ, 908779712673894431
Cartola 🎩, 758074370890530908
Gamers Club FN Community, 703694032450093107
Sorveteria da Guima®, 762548112622878720
Decorations For Servers! : #70k, 732311394879406192
Servidor dos Mentecaptos, 420378219854823424
Rocket League SA, 719000489106210856
Blueyes World 🌎, 907040538254004274
DIO._, 689887036110274618
New Age Club, 653752015461154887
Dzordi FiveM Community™, 862163901281075200
TazerCraft, 665353247757959169
Driscord Brasil™ 🍪, 320705589049163776
AI HUB Brasil, 1124470937442603119
NOBRU, 717546607574515752
ZAK, 651787975264436275
SUF 🌊, 947581824312410142
Gamers Club, 310098662984515584
Chaves Games, 802244362707664898
BRASIL REAL LIFE - PRINCIPAL, 547802284579356673
🌄 ROBLOX EMPIRE ISLAND, 704156526956249189
Comunidade Soberana, 828778305691844609
LEAGUE of Hu3BR #60k, 524951730534744076
Servidor do Chelly, 661644628986036224
EB Exército Brasileiro, 896840730675413002
Nader FiveM, 852653677907148840
DALLAS RP ®, 614190957482475562
「🌀」Veyar YT「🌀」, 791450229907390494
Lala du Discord, 680529503750979620
Gb Family 🎅, 603280458805149696
Blackoutz, 467826353287331863
Time X 🔥, 372093361365975041
República Coisa de Nerd, 723727866164019232
Brasil Gaming Realista, 442371517515300864
SteveZ TV, 745023032715903096
NoWay Roleplay, 771874706534039552
LOUD Eltin, 737535902745755649
NT Fivem Community, 853309208779030528
Hidro 🌊, 790738233037422622
HUMBLE, 638222336130285579
🍄┃Família Smurf, 607765084420177931
Underground Roleplay [ANDROID E PC], 618548240601710592
Hero Base, 842159620227072041
One | Roleplay, 753757415383498783
AnarchySons, 220576098134523904
🌴 ILHADOS 🌴, 706715940276142111
Player's Bank 🚀, 875197474690719785
🔱 Atlantic RP 🔱, 719912316451160115
JJORDAN, 755259689649832028
Servidor do Neon, 893246472043261983
PUBG BRASIL OFICIAL, 702226596471373924
CRUSH PVP #RespeitaAsMina, 808184224589938769
Finch Cuts, 1141741351222902874
Subsolo do Goularte, 994425853154951279
Lords Mobile PT/BR, 684698749754540068
HUNTERS CLAN, 762532417764065290
LZN TEAM, 931740044417437736
OFFSET | Season 2, 748204530919014400
BATATÕES ACADEMY, 311697548903579649
Gamers Club Fortnite, 774407661176356904
Cancún Roleplay, 878279351169318932
Distrito, 773229759680217088
GOAT, 632657191366557707
Clube dos Babes, 488151893516877862
FLUXO LUQUET4, 618213071143567361
👑 Privê #50k, 961006433585991680
Honor of Kings Brasil, 978655279157747712
Batalha da Aldeia, 705256190002593812
[🏁] Bester's Pilots, 813463313815961601
Clã NoobDemais, 605446560976994314
k a m a i t a c h i, 612117634909208576
Illusion, 869669730116599839
Inhouse Open, 789190853981241346
BRASIL ROLEPLAY 3 🏆{PC/ANDROID}, 817924556358156360
STARSHIPS RJ, 864140785947508746
Ragnarök Online, 373175045213650948
Servidor do Brug, 817218875589394490
Ballerini, 789888698673922078
SNACKCLUB, 884458417467559936
enchanted no rio 🌎, 975794597248766033
👊🏼FIVEM TORCIDAS RP ⚽, 732116254940332132
► Servidor da Feh ❤◄, 740237720781193226
CROSSFIRE Brasil, 400722698009051137
coundraW Community - Standoff 2, 607101868069617664
MineWay | Minecraft Server, 894320808095277056
4K EASY GAME, 514779388873539594
Colmeia do Abelha, 727839747090939955
SINTONIA Roleplay, 852597621042184233
Nikoverso, 941497813865492563
BVBSERVER.COM, 562405062534496334
TITAN ROLEPLAY, 700119975092027502
Call of Duty Brasil: WARZONE, 686751510369140837
Família K #150K, 606191550954995743
AnimesK, 614904136437334044
Meta City・Roleplay, 1001898693554884630
KAMIKAZE GTA RP, 458180150882861068
Blue RP, 1052851568887726091
MelzinhaMel Games ₊✦, 703962586583924736
『 🎉 GG Games✓』(OFICIAL), 689981542411665445
ALLIANCE MANUTENÇÃO, 911287122672111667
Biblioteca da Lulu | Concursos, 825795608110432276
🇧🇷 Warriors: Animes | Jogos | interação - (2X SONHOS!!) 🎃, 832368852871938079
Terraria Brasil - O começo da Jornada, 855128192364838932
ygorX 🔱, 751311267808935986
Hylex - Minecraft, 680183137455833119
Brasil Roleplay #2, 788350204444803072
Guiga Games, 771400856372641823
Problems, 799015525794447390
Patch Fifex Server, 709919435024105594
Haze Evolution - Season 2, 757347896910807161
Comunidade Nettuno de Trade Esportivo, 705909589761064990
